id;titulo;genero;ano;duracao(min)
512;Wake in Fright;Drama|Thriller;1915;115
513;Attack of the Puppet People;Horror|Sci-Fi;1989;197
514;Dial M for Murder;Crime|Mystery|Thriller;1949;169
515;She;Action|Adventure|Drama|Fantasy|Horror|Romance|Sci-Fi;1964;193
516;Quick and the Dead, The;Action|Thriller|Western;1935;179
517;Snails, The (Escargots, Les);Animation|Fantasy;2009;96
518;Diamond Arm, The (Brilliantovaya ruka);Action|Adventure|Comedy|Crime|Thriller;1995;49
519;Cherrybomb;Drama|Thriller;1998;148
520;Bill Burr: You People Are All the Same;Comedy;1931;197
521;Celeste and Jesse Forever (Celeste & Jesse Forever);Comedy|Drama|Romance;2018;53
522;Taste of Honey, A;Drama;1905;204
523;King, The;Drama;1916;55
524;Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan;Comedy;1966;75
525;Romantics, The;Comedy|Drama|Romance;2014;91
526;Blood Creek (a.k.a. Town Creek);Horror;1948;113
527;Koko, a Talking Gorilla;Documentary;1907;119
528;Rio Rita;Comedy|Musical|Romance;1928;60
529;Kiki's Delivery Service (Majo no takkyûbin);Adventure|Animation|Children|Drama|Fantasy;1925;192
530;Princess Diaries 2: Royal Engagement, The;Comedy|Romance;1953;166
531;Printed Rainbow;Adventure|Animation|Fantasy;2015;185
532;Little Shop of Horrors, The;Comedy|Horror;2007;115
533;Far Country, The;Western;1973;143
534;City of Angels;Drama|Fantasy|Romance;1915;50
535;That Obscure Object of Desire (Cet obscur objet du désir);Drama;1980;109
536;Two of Us, The (Le vieil homme et l'enfant);Comedy|Drama;2017;99
537;Continental Divide;Comedy|Romance;1910;84
538;1;Sci-Fi|Thriller;1950;54
539;Forbidden Planet;Drama|Sci-Fi;1908;90
540;Anna Karenina;Drama|Romance;1951;74
541;Busher, The;Comedy|Drama;2004;72
542;Jekyll & Hyde... Together Again;Comedy|Sci-Fi;1912;148
543;Kinky Boots;Comedy|Drama;1972;100
544;Lottery Ticket;Comedy;1968;177
545;Night Terrors;Horror;1921;166
546;Return of the Secaucus 7;Drama;1912;153
547;Princess and the Frog, The;Animation|Children|Fantasy|Musical|Romance;1969;54
548;Poker Club, The;Crime|Drama|Thriller;1979;146
549;You're Gonna Miss Me;Documentary;1995;183
550;Fanatics (Kulman pojat);Comedy;1921;65
551;Black Rock;Horror|Thriller;2018;63
552;Matchmaker, The;Comedy|Romance;1941;51
553;Day a Pig Fell Into the Well, The (Daijiga umule pajinnal);Drama;1958;66
554;Every Night Dreams (Each Night I Dream) (Yogoto no yume);Drama;1946;166
555;Car 54, Where Are You?;Comedy;1960;89
556;20,000 Leagues Under the Sea;Romance|Sci-Fi;2014;201
557;Eros;Drama;2004;133
558;Yonkers Joe;Drama;1970;191
559;Killers, The;Action|Crime|Drama|Film-Noir|Thriller;1988;179
560;Cries and Whispers (Viskningar och rop);Drama;1910;56
561;Strange Invaders;Animation|Comedy;1998;99
562;Why Has Bodhi-Dharma Left for the East?: A Zen Fable (Dharmaga tongjoguro kan kkadalgun);Drama;2010;175
563;Girl on the Train, The (La fille du RER);Drama;1980;165
564;Cirque du Freak: The Vampire's Assistant;Action|Adventure|Comedy|Fantasy|Horror|Thriller;1911;50
565;Foxcatcher;Drama;1986;164
566;Werewolves on Wheels;Horror;1976;175
567;Dragonlance: Dragons of Autumn Twilight;Action|Adventure|Animation|Fantasy;1970;159
568;Witness to Murder;Crime|Drama|Film-Noir|Thriller;1960;107
569;Into the Forest of Fireflies' Light;Animation|Drama|Fantasy;1964;165
570;Debut, The;Comedy|Drama;1991;177
571;Meet the Deedles;Children|Comedy;1993;53
572;Family Man, The;Comedy|Drama|Romance;1972;191
573;Boy Interrupted;Documentary;1923;67
574;Love (Szerelem);Drama;1987;159
575;World War Z;Action|Drama|Horror|IMAX;1960;68
576;Bionicle 2: Legends of Metru Nui;Action|Adventure|Animation|Children|Fantasy;2004;45
577;Somersault;Drama;1943;75
578;Love Trap, The;Comedy|Romance;1900;117
579;Holcroft Covenant, The;Drama|Thriller;1911;150
580;Hits;(no genres listed);1980;89
581;Ten Tall Men;Action|Adventure|Comedy|War;1912;160
582;American, The;Drama|Thriller;1921;112
583;Dead Air;Horror|Sci-Fi|Thriller;1993;100
584;Carpool;Comedy|Crime;1930;131
585;Lies My Father Told Me;Children|Drama;2006;149
586;Meshes of the Afternoon;Fantasy;1915;54
587;Kremlin Letter, The;Drama|Thriller;1955;196
588;Men of Means;Action|Drama;1949;143
589;Secret Adventures of Tom Thumb, The;Adventure|Animation;1927;199
590;Twilight Saga: New Moon, The;Drama|Fantasy|Horror|Romance|Thriller;1982;50
591;Whistle Blower, The;Thriller;1987;168
592;Tales from the Gimli Hospital;Fantasy|Horror;1972;182
593;Not with My Wife, You Don't!;Comedy|Drama;1923;63
594;That Night's Wife;Drama;1912;137
595;Pump Up the Volume;Comedy|Drama;1963;143
596;George Lopez: America's Mexican;Comedy;1902;168
597;Homework;(no genres listed);1944;179
598;TerrorStorm: A History of Government-Sponsored Terrorism;Documentary;1950;162
599;Dark Passage;Crime|Drama|Film-Noir|Romance|Thriller;1974;172
600;Opposite of Sex, The;Comedy|Drama|Romance;1997;124
601;It's Always Fair Weather;Comedy|Drama|Musical;2016;147
602;Cutting Edge, The;Comedy|Drama|Romance;1999;199
603;Paul Williams Still Alive;Comedy|Documentary|Musical;1964;74
604;Collector, The;Crime|Horror|Thriller;1971;107
605;How to Rob a Bank;Comedy|Crime|Mystery|Thriller;1945;109
606;Playing It Cool;Comedy|Romance;1934;165
607;Dirigible;Adventure;1937;114
608;Godzilla vs. The Sea Monster (Gojira-Ebira-Mosura: Nankai no daiketto);Action|Adventure|Fantasy|Sci-Fi;1954;193
609;Resident, The;Drama|Horror|Thriller;1962;45
610;Rollercoaster;Drama|Thriller;1961;143
611;Gamer;Action|Sci-Fi|Thriller;1909;185
612;Superman/Shazam!: The Return of Black Adam (DC Showcase Original Shorts Collection);Action|Adventure|Animation;1909;192
613;Barber of Siberia, The (Sibirskij tsiryulnik);Drama|Romance;1906;207
614;Man Who Loved Women, The;Comedy;1993;52
615;Amazon Women on the Moon;Comedy|Sci-Fi;1913;190
616;Jiro Dreams of Sushi;Documentary;1983;51
617;Devil and Max Devlin, The;Comedy|Fantasy;1957;148
618;Clash of the Titans;Action|Adventure|Drama|Fantasy;1979;49
619;Strongest Man in the World, The;Comedy|Fantasy;1973;164
620;V.I.P.s, The;Drama;1947;47
621;Snapper, The;Comedy|Drama;2008;105
622;Red Pony, The;Drama;1969;104
623;Windtalkers;Action|Drama|War;1956;138
624;Faust;Drama|Fantasy|Horror;1908;76
625;Devil Is a Woman, The;Comedy|Drama|Romance;1930;150
626;Singapore Sling (Singapore sling: O anthropos pou agapise ena ptoma);Crime|Film-Noir|Horror|Romance|Thriller;1901;91
627;Boston Strangler, The;Crime|Drama|Mystery|Thriller;1952;205
628;Client, The;Drama|Mystery|Thriller;1921;60
629;John Q;Crime|Drama|Thriller;1982;68
630;Pearls of the Deep (Perlicky na dne);Comedy;2008;209
631;Where Were You When the Lights Went Out?;Comedy;1999;202
632;Greatest, The;Drama;2009;142
633;Charisma (Karisuma);Drama;1944;104
634;Big Buck Bunny;Animation|Comedy;1948;112
635;Flesh and the Devil;Drama|Romance;1984;60
636;Calloused Hands;Drama;2001;115
637;Last House on the Left, The;Drama|Horror|Thriller;2016;207
638;Blade on the Feather (Deep Cover);Mystery;2014;112
639;Wanda Sykes: Sick and Tired;Comedy|Documentary;2007;148
640;Swimfan;Thriller;1978;135
641;My Friend Flicka;Children|Western;1919;68
642;Trapeze;Drama;1944;56
643;Wankers, The (Les branleuses);Documentary;1996;208
644;Heartbeeps;Comedy|Sci-Fi;2006;93
645;Lesson of the Evil (Aku no kyôten);Thriller;2000;100
646;You, the Living (Du levande);Comedy|Drama|Musical;1995;113
647;Hombre;Western;1940;208
648;Down to the Sea in Ships;Drama;1949;209
649;Lady Dragon;Action|Drama;2004;57
650;Roll Bounce;Comedy|Drama|Romance;1939;84
651;Kill Bill: Vol. 2;Action|Drama|Thriller;2006;178
652;Johnny Apollo;Crime|Drama|Film-Noir|Romance;1908;207
653;Windmill Movie, The;Documentary;1994;58
654;Lightning Bolt: The Power of Salad;Documentary;1989;116
655;3 Needles;Drama;2004;166
656;Holy Man;Comedy;1973;192
657;Don't Stop Believin': Everyman's Journey;Documentary;1961;137
658;V/H/S/2;Horror|Thriller;1954;58
659;Loft;Comedy|Thriller;1969;192
660;We Are Marshall;Drama;1922;156
661;Three Men and a Little Lady;Comedy|Romance;1902;83
662;Hollywood Shuffle;Comedy;1904;186
663;Hot Rock, The;Comedy|Crime;1997;163
664;Ashura;Action|Fantasy;1988;97
665;Seagull's Laughter, The (Mávahlátur);Comedy|Drama;1909;117
666;Poetry (Shi);Drama;1967;114
667;Arsène Lupin Returns;Mystery;1938;62
668;Ladies in Lavender;Comedy|Drama|Romance;1947;124
669;Final Cut, The;Sci-Fi|Thriller;1935;163
670;Battle of Shaker Heights, The;Comedy|Drama|Romance;1974;149
671;Coven;Horror;2004;66
672;The Unexpected Love;Comedy|Drama;1964;175
673;Sure Thing, The;Comedy|Romance;1994;199
674;Medium Cool;Drama|Romance;2013;175
675;One-Eyed Jacks;Western;2016;205
676;Seasoning House, The;Horror|Thriller;1994;178
677;Short Film About Love, A (Krótki film o milosci);Drama|Romance;1938;180
678;Warning for the Joensson Gang (Varning för Jönssonligan);Comedy|Crime;1956;138
679;Invisible War, The;Crime|Documentary|Drama|War;1981;209
680;Bigger Than Life;Drama|Mystery|Thriller;2012;183
681;Mr. Baseball;Comedy|Romance;1937;47
682;Nowhere Boy;Drama;2011;63
683;Crime Zone;Action|Film-Noir|Sci-Fi;1908;96
684;Jackass 3D;Action|Comedy|Documentary;1972;93
685;Return Of The Ghostbusters;Comedy;1905;90
686;Breathing Room;Horror|Mystery|Thriller;1987;188
687;Dorian Gray;Drama|Horror;1904;134
688;Super Bitch;Action;1979;149
689;Swept Away (Travolti da un insolito destino nell'azzurro mare d'Agosto);Comedy|Drama;1975;165
690;Buddy Buddy;Comedy;1922;118
691;Day in the Country, A (Partie de campagne);Drama|Romance;1976;95
692;Romulus, My Father;Drama;1964;180
693;Funeral in Berlin;Action|Drama|Thriller;2018;69
694;Father of Invention;Comedy|Drama;1947;70
695;Here Comes Cookie;Comedy;1961;169
696;Bon Voyage;Comedy|Drama;1979;81
697;Black Sunday (La maschera del demonio);Horror;1976;112
698;Ghost and Mrs. Muir, The;Drama|Fantasy|Romance;1922;72
699;My Wife's Relations;Comedy;1946;91
700;The Pentagon Papers;Drama|Thriller;1927;188
701;Sex & the Other Man;Comedy|Drama;1916;79
702;Terror is a Man;Horror|Sci-Fi;2000;123
703;Wedding Gift, The;Drama|Romance;2004;121
704;Anne Frank Remembered;Documentary;2015;78
705;Dirty Dingus Magee;Comedy|Western;1946;133
706;Story of a Love Affair (Cronaca di un amore);Crime|Drama|Romance;1965;75
707;Black and White;Drama;1952;164
708;Hammett;Crime|Mystery;1999;120
709;Split Second;Action|Sci-Fi|Thriller;2000;150
710;Stunt Rock;Action|Drama|Romance;1987;54
711;Physical Evidence;Crime|Thriller;1988;130
712;English Patient, The;Drama|Romance|War;1923;145
713;Delicacy (La délicatesse);Comedy|Romance;1927;51
714;Three Men and a Baby;Comedy;1940;57
715;It's a Wonderful Life;Drama|Fantasy|Romance;1997;117
716;Nutty Professor, The;Comedy|Fantasy|Romance|Sci-Fi;1999;49
717;Tender Comrade;Drama|Romance;1993;170
718;Tap;Drama;1984;195
719;Suburban Gothic;Comedy|Horror;1911;105
720;True Crime;Crime|Thriller;2011;183
721;Case 39;Horror|Thriller;1941;175
722;Uncle Buck;Comedy;1962;169
723;Exorcist III, The;Horror;1979;62
724;Wounds, The (Rane);Comedy|Crime|Drama|War;1906;107
725;Natural City;Action|Romance|Sci-Fi;1973;150
726;Protector, The;Action|Comedy|Drama|Thriller;1993;59
727;On the Ice;Drama|Thriller;1953;146
728;Sleeping Beauty;Adventure|Fantasy;1955;48
729;Spin (You Are Here);Comedy|Romance;1998;106
730;Confession;Drama;1901;88
731;Duplicity;Crime|Romance|Thriller;1982;133
732;Dolls;Drama|Romance;1983;121
733;2 + 2 (Dos más dos);Comedy;1912;169
734;Sexual Dependency (Dependencia sexual);Drama;1910;138
735;Exploding Girl, The;Drama;1955;78
736;Counterfeit Coin, The (Istoria mias kalpikis liras);Comedy|Drama|Film-Noir|Romance;1953;189
737;I Spy;Action|Adventure|Comedy|Crime;1913;118
738;Phat Beach;Comedy;2006;85
739;South, The (Sur);Drama;1914;95
740;Whores' Glory;Documentary;2013;148
741;Paleface, The;Comedy|Western;2016;173
742;Samurai Vendetta;Action|Drama;1984;140
743;Frozen Ground, The;Crime|Drama|Thriller;1988;208
744;Guinea Pig: Flowers of Flesh and Blood (Za ginipiggu 2: Chiniku no hana);Horror;1940;144
745;Brightness (Yeelen);Fantasy;2009;194
746;Newsies;Children|Musical;1961;161
747;Letter to Elia, A;Documentary;2014;87
748;Eden of the East the Movie I: The King of Eden (Higashi no Eden Gekijoban);Action|Animation|Crime|Sci-Fi|Thriller;1990;117
749;Aladdin;Adventure|Animation|Children|Comedy|Musical;1980;112
750;Shades of Fern (Stín kapradiny);Drama;1930;89
751;Tamara;Fantasy|Horror|Thriller;1911;124
752;Devil Girl From Mars;Sci-Fi;2015;76
753;Devil's Rejects, The;Action|Crime|Horror;2013;196
754;Jo Jo Dancer, Your Life is Calling;Drama;1901;136
755;Ivan the Terrible, Part One (Ivan Groznyy I);Drama;1920;104
756;Steal a Pencil for Me;Documentary|Romance;1923;171
757;Riders of Destiny;Romance|Western;1924;104
758;I Was a Male War Bride;Comedy|Romance;1927;207
759;Loving You;Drama|Musical;1923;196
760;Clock, The;Adventure|Drama|Romance;2015;195
761;Caesar Must Die (Cesare deve morire);Drama;2003;170
762;Torque;Action|Crime;1914;87
763;The Adventures of André and Wally B.;Animation;1991;57
764;Coca-Cola Kid, The;Comedy|Romance;1958;181
765;Wyrmwood;Action|Horror|Sci-Fi;1983;101
766;Break-Up, The;Comedy|Drama|Romance;2007;50
767;Airport '77;Drama;1958;152
768;Skylark;Children|Drama;1909;137
769;Arc;Drama|Mystery|Thriller;1965;181
770;Harvard Man;Crime|Drama|Romance|Thriller;1947;151
771;Future Cops (Chao ji xue xiao ba wang);Action;1935;182
772;Clara's Heart;Drama;2010;192
773;It Rains in My Village (Bice skoro propast sveta);Drama;1900;137
774;Dr. Jekyll and Mr. Hyde;Drama|Horror|Sci-Fi;2006;170
775;Harvest/La Cosecha, The;Documentary;1992;137
776;Breezy;Drama|Romance;1930;178
777;Prince Valiant;Adventure;1971;89
778;Madman;Horror;1965;131
779;9 Star Hotel (Malon 9 Kochavim);Documentary;1954;57
780;Menace II Society;Action|Crime|Drama;1936;161
781;Ivans xtc.;Drama;1949;107
782;Time Out (L'emploi du temps);Drama;2006;151
783;Ambush (Mai fu);Action|Adventure;1926;136
784;Roadie;Comedy|Musical;1941;80
785;Story of Three Loves, The;Drama|Musical|Romance;1999;48
786;Impossible, The (Imposible, Lo);Drama|Thriller;2004;140
787;Opportunity Knocks;Comedy;1900;68
788;Seize the Day;Drama;1972;153
789;High Road to China;Adventure|Drama|Romance|War;2003;128
790;Hellraiser: Bloodline;Action|Horror|Sci-Fi;2002;184
791;Peter Pan;Animation|Children|Fantasy|Musical;1900;68
792;Futureworld;Sci-Fi|Thriller;1931;180
793;Swindle;Action|Comedy;1914;187
794;Blown Away;Action|Drama|Romance;1918;74
795;Killer Inside Me, The;Crime|Drama|Thriller|Western;1912;48
796;Starstruck;Comedy|Musical;1928;145
797;Naked Blood: Megyaku (Nekeddo burâddo: Megyaku);Horror;1949;118
798;Paheli;Drama|Fantasy|Musical|Romance;1969;92
799;Three Lives and Only One Death (Trois vies & une seule mort);Comedy;2008;59
800;Vicky Donor;Comedy|Romance;1906;112
801;Brainstorm (Bicho de Sete Cabeças);Drama;1900;58
802;Dead Heat;Action|Comedy|Horror|Sci-Fi;1975;47
803;Cliffhanger;Action|Adventure|Thriller;1949;190
804;Night Train to Munich;Film-Noir|Thriller|War;2012;153
805;Holidaze;Children|Drama|Romance;1945;115
806;Amy's O (a.k.a. Amy's Orgasm);Comedy|Romance;1958;135
807;Lee Daniels' The Butler;Drama;1927;121
808;Miss Firecracker;Comedy;1905;183
809;From the East (D'Est);Documentary;1975;136
810;The Chumscrubber;Comedy|Drama;1968;189
811;Dog of Flanders, A;Drama;1972;196
812;Escape from the Planet of the Apes;Action|Sci-Fi;1900;65
813;Bunraku;Action|Drama|Fantasy;1942;91
814;Close to Leo (Tout contre Léo);Drama;1971;152
815;If God Is Willing and da Creek Don't Rise;Documentary;2016;93
816;Emperor's Naked Army Marches On, The (Yuki Yukite shingun);Documentary;2015;98
817;Land, The (Al-ard);Drama;1985;146
818;Smoke Signals;Comedy|Drama;2010;201
819;Last Movie, The;Drama;1931;155
820;Aquí llega Condemor, el pecador de la pradera;Comedy|Western;1910;67
821;Day of the Beast, The (Día de la Bestia, El);Adventure|Comedy|Thriller;1950;80
822;Same Same But Different;Drama|Romance;1908;173
823;Hot Spot, The;Crime|Drama|Romance;1947;175
824;Kids;Drama;1949;209
825;Love Liza;Drama;1970;141
826;Asylum;Horror|Thriller;1930;131
827;Mack, The;Crime;1997;165
828;My Prairie Home;Documentary;1932;201
829;Dancer Upstairs, The;Crime|Drama|Thriller;1903;98
830;White Rose, The (Weiße Rose, Die);Drama|Film-Noir;1903;119
831;Good Doctor, The;Drama|Mystery|Thriller;1934;146
832;Teacher's Pet;Animation|Children;1945;58
833;Billy Blazes, Esq.;Comedy|Western;1997;194
834;Trip, The;Drama;1905;152
835;Dorado, El;Drama;1940;54
836;Open Your Eyes (Abre los ojos);Drama|Romance|Sci-Fi|Thriller;1997;52
837;Brood, The;Horror;1966;145
838;About Alex;Drama;1967;120
839;Hercules and the Amazon Women;Action|Adventure|Fantasy|Sci-Fi;1914;201
840;I Never Sang for My Father;Drama;1916;178
841;Carbon Nation;Documentary;1981;193
842;Adam & Paul;Comedy|Drama;1977;112
843;Dead Presidents;Action|Crime|Drama;1994;109
844;Confidence;Crime|Thriller;1938;177
845;House of Small Cubes, The (Tsumiki no ie);Animation|Drama;1900;79
846;The African;Adventure|Comedy;2015;87
847;21-87;Documentary;1987;133
848;Shock to the System, A;Comedy|Crime|Thriller;1950;186
849;Head On;Drama;1939;85
850;Blow-Up (Blowup);Drama|Mystery;1980;171
851;Fine-Tune;Comedy|Drama;1968;127
852;Just a Gigolo;Comedy|Romance;1958;63
853;Creepshow 3;Horror;1953;90
854;Prince and the Pauper, The;Adventure|Drama;1950;172
855;Dick Tracy;Action|Crime;1927;48
856;Monster-in-Law;Comedy|Romance;1921;142
857;Rock the Boat;Animation;1939;148
858;Microcosmos (Microcosmos: Le peuple de l'herbe);Documentary;1918;126
859;Muck;Horror;1951;61
860;Sitting Pretty;Comedy;1905;87
861;The Oscar;Drama;1901;152
862;Greenberg;Comedy|Drama;1938;161
863;Wagons East;Comedy|Western;1992;55
864;Mahakaal (The Monster);Horror;1909;144
865;Agnes of God;Drama|Mystery;1901;74
866;Swan, The;Comedy|Drama|Romance;1999;198
867;Strange Little Cat, The (Das merkwürdige Kätzchen);Comedy|Drama;1907;149
868;Over Her Dead Body;Comedy|Fantasy|Romance;1993;110
869;City of Lost Souls, The (Hyôryuu-gai);Crime|Drama|Thriller;1985;187
870;Loss of Sexual Innocence, The;Drama|Fantasy;1987;55
871;Lady in the Lake;Crime|Drama|Film-Noir|Mystery|Romance;1989;136
872;Abbott and Costello Meet the Mummy;Comedy|Horror;1982;114
873;Goodbye to Language 3D;Drama;1908;66
874;Switchblade Sisters;Crime;1982;163
875;Tale of Tales (Skazka skazok);Animation;1995;179
876;Somewhere Between;Documentary;1944;75
877;Merchant of Venice, The;Comedy|Drama;1913;122
878;First Descent;Documentary;1937;167
879;Glue;Drama;1982;206
880;We Need to Talk About Kevin;Drama|Thriller;1900;133
881;47 Ronin, The (Genroku Chûshingura);Drama;1966;209
882;Death Race;Action|Adventure|Sci-Fi|Thriller;2016;208
883;Heaven Can Wait;Comedy;2011;168
884;House on Sorority Row, The;Horror|Mystery|Thriller;1906;96
885;Man Apart, A;Action|Crime|Drama|Thriller;1973;166
886;Evil (Ondskan);Drama;2011;45
887;Spanish Prisoner, The;Crime|Drama|Mystery|Thriller;1906;138
888;Time to Die (Tiempo de morir);Drama|Western;1987;92
889;My Fellow Americans;Comedy;1973;106
890;Mercredi, folle journée!;Comedy|Drama;1967;104
891;December Boys;Drama;2000;159
892;Shadow, The;Action|Adventure|Fantasy|Mystery;1932;144
